N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,아모레G,"58,400",600,+1.04%,500,"48,156","82,458",19.79,"272,010",206.36,4.12,
60,현대중공업지주,"296,500","17,000",+6.08%,"5,000","46,843","15,799",17.37,"129,566",-17.96,2.20,
61,유한양행,"67,700","1,600",+2.42%,"1,000","45,262","66,857",20.80,"1,057,674",24.94,2.43,
62,삼성중공업,"7,160",190,+2.73%,"5,000","45,108","630,000",14.90,"22,171,230",-3.61,-21.88,
63,HMM,"13,800",50,-0.36%,"5,000","45,088","326,726",6.47,"6,393,791",-44.52,-55.46,
64,SK케미칼,"383,000","4,500",-1.16%,"5,000","44,970","11,741",16.69,"141,681",17.48,1.51,
65,한국금융지주,"79,000","1,000",+1.28%,"5,000","44,024","55,726",30.06,"339,398",7.23,18.14,
66,이마트,"157,000","2,500",+1.62%,"5,000","43,765","27,876",31.67,"194,410",7.84,2.76,
67,현대건설,"38,900",550,+1.43%,"5,000","43,317","111,356",19.40,"1,676,666",18.97,6.30,
68,금호석유,"140,500","1,500",+1.08%,"5,000","42,807","30,468",28.10,"471,930",12.02,11.84,
69,녹십자,"362,500","4,000",-1.09%,"5,000","42,364","11,687",19.07,"302,041",97.24,-0.35,
70,한미약품,"355,000","3,000",+0.85%,"2,500","42,043","11,843",14.05,"148,927","-3,380.95",7.30,
71,삼성카드,"34,450",200,+0.58%,"5,000","39,913","115,859",10.18,"139,049",9.69,5.04,
72,한진칼,"65,800",100,-0.15%,"2,500","38,954","59,200",17.24,"244,402",-10.85,-17.56,
73,LG이노텍,"164,500","4,500",-2.66%,"5,000","38,932","23,667",34.35,"262,635",29.82,4.73,
74,삼성증권,"42,400","1,000",+2.42%,"5,000","37,863","89,300",24.99,"790,511",8.05,8.15,
75,맥쿼리인프라,"10,800",0,0.00%,0,"37,697","349,044",14.32,"694,600",N/A,N/A,
76,두산중공업,"14,750",150,+1.03%,"5,000","37,338","253,141",12.52,"3,510,461",-3.18,-14.73,
77,롯데지주,"35,500","1,000",+2.90%,200,"37,243","104,909",11.27,"434,498",-5.19,-5.21,
78,CJ대한통운,"161,000",500,-0.31%,"5,000","36,728","22,812",20.95,"74,942",29.02,1.41,
79,쌍용양회,"7,250",20,+0.28%,100,"36,530","503,860",3.02,"4,526,931",29.12,7.02,
80,GS,"38,400",750,+1.99%,"5,000","35,680","92,915",19.35,"555,226",-41.65,6.26,
81,NH투자증권,"12,200",350,+2.95%,"5,000","34,332","281,409",14.60,"1,319,525",5.93,9.12,
82,호텔신라,"85,000",500,+0.59%,"5,000","33,361","39,248",21.51,"916,111",-25.80,20.16,
83,현대차2우B,"90,800",700,+0.78%,"5,000","33,129","36,485",60.56,"160,685",21.70,N/A,
84,SKC,"87,500",300,+0.34%,"5,000","32,843","37,535",7.75,"183,052",38.84,3.86,
85,두산밥캣,"31,200",800,+2.63%,500,"31,278","100,249",20.42,"552,910",16.88,7.05,
86,DB손해보험,"44,150",50,+0.11%,500,"31,258","70,800",40.53,"272,029",5.62,6.92,
87,에스원,"81,900","1,400",+1.74%,500,"31,121","37,999",54.80,"73,754",21.55,11.32,
88,GS건설,"38,650",500,+1.31%,"5,000","30,958","80,098",27.68,"1,303,459",10.11,11.79,
89,대우조선해양,"28,500",550,+1.97%,"5,000","30,578","107,291",8.91,"838,278",17.54,-1.22,
90,대림산업,"87,600","4,100",+4.91%,"5,000","30,485","34,800",38.09,"1,470,386",4.64,11.74,
91,동서,"30,500",100,+0.33%,500,"30,408","99,700",4.67,"168,894",21.99,10.53,
92,더존비즈온,"101,000",500,+0.50%,500,"30,407","30,106",45.21,"63,957",62.77,18.78,
93,키움증권,"134,000","1,000",+0.75%,"5,000","29,903","22,316",24.10,"196,094",5.91,16.97,
94,롯데쇼핑,"104,500","1,500",+1.46%,"5,000","29,562","28,289",11.57,"144,878",-2.20,-8.14,
95,LG화학우,"380,500","2,000",-0.52%,"5,000","29,256","7,689",60.01,"33,621",35.55,N/A,
96,대웅,"49,600","6,950",+16.30%,500,"28,838","58,142",6.30,"22,342,129",57.14,10.43,
97,한국가스공사,"30,900","1,550",+5.28%,"5,000","28,525","92,313",8.72,"1,307,265",-5.68,0.48,
98,두산퓨얼셀,"49,050",150,+0.31%,100,"27,220","55,494",12.37,"1,098,721",143.84,N/A,
99,GS리테일,"34,900",800,+2.35%,"1,000","26,873","77,000",14.11,"796,083",15.91,6.25,
100,삼성엔지니어링,"13,650",50,-0.36%,"5,000","26,754","196,000",25.21,"3,021,855",10.48,24.62,
101,TIGER 200,"37,210",345,+0.94%,0,"26,438","71,050",4.65,"2,948,529",N/A,N/A,
102,메리츠증권,"3,895",95,+2.50%,"1,000","26,329","675,962",12.67,"4,514,634",4.87,15.06,
103,휠라홀딩스,"43,300","1,100",+2.61%,"1,000","26,306","60,752",45.92,"461,149",14.60,23.81,
104,만도,"53,100","1,300",-2.39%,"1,000","24,934","46,957",27.23,"1,114,462",-44.96,7.55,
105,신세계,"253,000","10,000",+4.12%,"5,000","24,908","9,845",25.68,"208,678",-8.13,14.24,
106,씨에스윈드,"143,000",500,-0.35%,500,"24,719","17,286",8.19,"229,657",47.21,9.92,
107,한국항공우주,"25,100","1,100",+4.58%,"5,000","24,466","97,475",14.06,"1,841,272",18.48,15.84,
108,CJ,"83,200","1,200",+1.46%,"5,000","24,275","29,177",19.07,"248,294",13.82,6.24,
109,제일기획,"20,950",250,+1.21%,200,"24,101","115,041",32.14,"349,079",17.75,15.09,
110,한샘,"99,400","2,900",+3.01%,"1,000","23,393","23,534",23.47,"93,347",34.90,7.32,
111,하이트진로,"32,700",300,-0.91%,"5,000","22,934","70,134",9.90,"806,229",30.91,-3.86,
112,BGF리테일,"132,000","4,000",+3.13%,"1,000","22,815","17,284",30.96,"135,046",17.44,26.46,
113,LS,"70,400","2,600",+3.83%,"5,000","22,669","32,200",12.00,"474,271",-977.78,0.80,
114,팬오션,"4,200",10,+0.24%,"1,000","22,452","534,570",11.09,"2,489,931",16.60,5.49,
115,일진머티리얼즈,"48,400","2,150",+4.65%,500,"22,318","46,111",7.80,"980,945",50.21,8.52,
116,KODEX 200선물인버스2X,"2,850",45,-1.55%,0,"21,600","757,900",1.62,"203,829,606",N/A,N/A,
117,현대오토에버,"102,000","3,500",+3.55%,500,"21,420","21,000",2.03,"392,194",37.27,11.71,
118,현대차우,"87,700",600,+0.69%,"5,000","21,361","24,357",54.30,"150,961",20.96,N/A,
119,현대미포조선,"51,500","3,950",+8.31%,"5,000","20,570","39,942",12.49,"1,195,553",44.32,2.31,
